"b""Anti-Trump Dem says break-in at his office 'probably not related to my politics'""",0.0
b'RT @polishprincessh: If you ask the right people you can get the results you want!\nI took a poll and determined that we would be better off\xe2\x80\xa6',0.42857142857142855
"b""RT @King_Quico: Fuck Trump and the lack of resources at border patrol. But also fuck the ignoramuses who risk their children's lives. Both\xe2\x80\xa6""",-0.4
b'RT @JuddLegum: Trump is tapping into a real grievance \xe2\x80\x94 the majority of Americans rightly believe the system is stacked against them.\n\nBut\xe2\x80\xa6',0.24285714285714285
"b""RT @davidfrum: Anyway, don't let controversy over Trump signing souvenirs for a small number of carefully prescreened troops distract you f\xe2\x80\xa6""",-0.175
b'RT @RealJack: President Trump went from talking to children on Christmas Eve and then flew across the world to a combat zone that night.\xe2\x80\xa6',0.0
b'RT @JudicialWatch: JW President @TomFitton: It looks like Special Counsel Mueller\xe2\x80\x99s operation deleted text messages of corrupt anti-Trump F\xe2\x80\xa6',-0.07142857142857142
b'RT @chipfranklin: If you are aligned with Trump and think Mueller might offer you a deal? That ship has sailed. Bring your weepy wife and s\xe2\x80\xa6',0.0
"b'Trump, lier in chief. https://t.co/9NCZ1N4QqL'",0.0
b'RT @krassenstein: Trump just threatened to shut down the Southern border.  Doing so would destroy our economy:\n\nUS Exports to Mexico:\n\nMach\xe2\x80\xa6',-0.11851851851851854
b'El Porqu\xc3\xa9 de las Noticias con @DannyPerezDiaz\n#Siria entra en #Manbij. Migrantes en puerto seguro. Muro de #Trump\xe2\x80\xa6 https://t.co/ruBcnmsehh',0.0
"b'RT @TravisAllen02: Cost of Mueller Investigation: $3,200,000\nBenghazi Investigation: $7,000,000\nTrump\xe2\x80\x99s Golf Trips: $83,000,000\nDebt from G\xe2\x80\xa6'",0.0
b'@ABC Abc really hates president Trump but loves Obama I remember when all media reported on all crimes of Obama hil\xe2\x80\xa6 https://t.co/EYOVIAjN7r',0.2
b'RT @DetroitLove88: Trump\xe2\x80\x99s @realDonaldTrump shutdown stunt is an act of needless stupidity\n#ImWithNancy\n#TeamPelosi\n#MadamSpeaker\n\n#TrumpRe\xe2\x80\xa6',-0.55
b'RT @SavingAmerica4U: \xf0\x9f\x94\xb4MUST WATCH - CHECK THIS OUT\n\nA Trump supporter was denied service and assaulted at a vape shop in Georgia. He recorde\xe2\x80\xa6',0.0
b'RT @_WhyzGuy_: Pretty sure is has to do with @AlanDersh being a gd pedo\nhttps://t.co/cYUAxl2ZbF',0.375
"b'RT @thebradfordfile: Kamala Harris and Dianne Feinstein will not tweet any reference to California Police Officer Ronil Singh, who was kill\xe2\x80\xa6'",0.0
"b""RT @DavidCornDC: As we slouch toward 2018's end, I am re-upping this recent piece. We have to keep fighting to keep this central point in f\xe2\x80\xa6""",0.0
b'RT @SarahPalinUSA: \xe2\x80\x98Incredible\xe2\x80\x99: Sarah Sanders Shares the \xe2\x80\x98Powerful Moment\xe2\x80\x99 Between Trump and Soldier That MSM Refused to Show https://t.co\xe2\x80\xa6',0.6
b'@_Queen_Diva_ @fruitbatoo @BobGorovoi @711wasaPartTim1 @garybkatz @Isrl_Yido @laielkha @LSH_101 @samibedouin\xe2\x80\xa6 https://t.co/3nXDBZe79r',0.0
"b'RT @ddale8: Individuals decide to enter the lottery because they want to immigrate. (Trump lies that foreign governments dump in their ""wor\xe2\x80\xa6'",-0.125
b'RT @Kimmi1965: FACT: Democrats have already presented Trump with three options to reopen the government for the people. But Republicans hav\xe2\x80\xa6',0.0
"b""RT @Epicurious_me: If it hadn't been for the guts and brains of @MichaelAvenatti, not to mention how articulate he is, we would never have\xe2\x80\xa6""",0.0
b'RT @TETUmag: USA : l\xe2\x80\x99administration Trump renvoie des militaires s\xc3\xa9ropositifs\nhttps://t.co/daDYFRwkUW',0.0
b'RT @RepMarkMeadows: Nancy Pelosi told President Trump on national TV the House didn\xe2\x80\x99t have the votes for a border wall bill. We did. It pas\xe2\x80\xa6',0.0
b'RT @Hispantv: El Gobierno de #Rusia vuelve a ratificar su apoyo a #Venezuela ante la guerra econ\xc3\xb3mica desatada por la Administraci\xc3\xb3n del  p\xe2\x80\xa6',0.0
b'Donald Trump Beefing with DirecTV ... Over UFC Fight https://t.co/RSHCyQis5P',0.0
b'RT @Lowcountry1Girl: Beto: US Must Focus on Well-Being of Migrants Above Any Other Concern.\n\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\nTrump\xe2\x80\x99s base wants a border.\nWe want 2 focus\xe2\x80\xa6',-0.18125000000000002
"b'RT @RealDrGina: BREAKING: Trump on vacation in Hawaii at $899-5k/night resort during shutdown, instead of working! Media will go WILD! \n\nOh\xe2\x80\xa6'",0.125
b'RT @SaysHummingbird: Trump officially ranked worst president of all time. According to the \xe2\x80\x9cPresidential Greatness Survey\xe2\x80\x9d published Monday\xe2\x80\xa6',-1.0
